ds,forecast
2015-11-02,58.23385631340371
2015-11-03,59.994961244605236
2015-11-04,58.148046619876546
2015-11-05,57.517478260764534
2015-11-06,59.006910395443896
2015-11-07,62.69232581073109
2015-11-08,57.4769347905048
2015-11-09,53.00181927532937
2015-11-10,57.22300444067698
2015-11-11,57.927402954618266
2015-11-12,59.88826162708099
2015-11-13,63.95605221168782
2015-11-14,70.1525767154482
2015-11-15,67.32698413127072
2015-11-16,65.06756179592786
2015-11-17,71.27995892599247
2015-11-18,73.70426206835252
2015-11-19,77.07152634407501
2015-11-20,82.19567870275831
2015-11-21,89.0685388979342
2015-11-22,86.51663195985789
2015-11-23,84.11363432603943
2015-11-24,89.75909279293923
2015-11-25,91.19582079862732
2015-11-26,93.16656429897645
2015-11-27,96.5058458216088
2015-11-28,101.23472904617736
2015-11-29,96.2171787884354
2015-11-30,91.0718642013525
2015-12-01,93.75005454327842
2015-12-02,92.05202661417471
2015-12-03,90.7825948802928
2015-12-04,90.84169545004575
2015-12-05,92.31779220395731
2015-12-06,84.14280874716215
2015-12-07,76.00246500700634
2015-12-08,75.91270036661751
2015-12-09,71.7346357680536
2015-12-10,68.32871915706001
2015-12-11,66.64401801143431
2015-12-12,66.81045827440192
2015-12-13,57.79274205378921
2015-12-14,49.29984854978562
2015-12-15,49.360822027197436
2015-12-16,45.839316886453375
2015-12-17,43.58755703052498
2015-12-18,43.53568091166089
2015-12-19,45.78427377219098
2015-12-20,39.258816044108144
2015-12-21,33.61994338012536
2015-12-22,36.84020767582182
2015-12-23,36.71978948115585
2015-12-24,38.04179453518559
2015-12-25,41.66307705490896
2015-12-26,47.60835887807501
2015-12-27,44.72633807442132
2015-12-28,42.60164501859451
2015-12-29,49.133296544715215
2015-12-30,52.05205949226857
2015-12-31,56.07731786786263
