,forecast
2016-01-01,89.14916355761063
2016-01-02,91.71014343553304
2016-01-03,92.65218105353235
2016-01-04,92.9987026648016
2016-01-05,93.12616809164055
2016-01-06,93.17305531168934
2016-01-07,93.19030243083702
2016-01-08,93.19664665680276
2016-01-09,93.19898033367711
2016-01-10,93.19983875955654
2016-01-11,93.20015452520455
2016-01-12,93.20027067727645
2016-01-13,93.20031340296205
2016-01-14,93.20032911929137
2016-01-15,93.20033490042753
2016-01-16,93.20033702697597
2016-01-17,93.20033780921118
2016-01-18,93.20033809695066
2016-01-19,93.2003382027935
2016-01-20,93.20033824172701
2016-01-21,93.20033825604843
2016-01-22,93.20033826131645
2016-01-23,93.20033826325425
2016-01-24,93.20033826396705
2016-01-25,93.20033826422926
2016-01-26,93.20033826432571
2016-01-27,93.20033826436118
2016-01-28,93.20033826437424
2016-01-29,93.20033826437903
2016-01-30,93.2003382643808
2016-01-31,93.20033826438144
2016-02-01,93.20033826438168
2016-02-02,93.20033826438177
2016-02-03,93.20033826438181
2016-02-04,93.20033826438183
2016-02-05,93.20033826438183
2016-02-06,93.20033826438183
2016-02-07,93.20033826438183
2016-02-08,93.20033826438183
2016-02-09,93.20033826438183
2016-02-10,93.20033826438183
2016-02-11,93.20033826438183
2016-02-12,93.20033826438183
2016-02-13,93.20033826438183
2016-02-14,93.20033826438183
2016-02-15,93.20033826438183
2016-02-16,93.20033826438183
2016-02-17,93.20033826438183
2016-02-18,93.20033826438183
2016-02-19,93.20033826438183
2016-02-20,93.20033826438183
2016-02-21,93.20033826438183
2016-02-22,93.20033826438183
2016-02-23,93.20033826438183
2016-02-24,93.20033826438183
2016-02-25,93.20033826438183
2016-02-26,93.20033826438183
2016-02-27,93.20033826438183
2016-02-28,93.20033826438183
2016-02-29,93.20033826438183
